香港&台湾,#genre#
北京卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226739/index.m3u8$LR•IPV6『线路2』
北京卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000031556/1.m3u8$LR•IPV6『线路3』
广东卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014176/1.m3u8$LR•IPV6『线路1』
广东卫视,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8$LR•IPV6『线路2』
广东卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000014694/1.m3u8$LR•IPV6『线路3』
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8$IPV6『线路1』
广东珠江,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011655/1.m3u8$IPV6『线路2』
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8$IPV6『线路3』
广东珠江,http://120.84.121.198:808/hls/27/index.m3u8$IPV4『线路4』
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/1.m3u8$IPV6『线路1』
大湾区卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8$FM•IPV6 『线路2』


体育台,#genre#
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000004794/1.m3u8$IPV6『线路1』
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265005/1.m3u8$IPV6『线路2』
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/index.m3u8$•IPV6『线路3』
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8$IPV6『线路4』
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$IPV4『线路5』
CCTV-5+ 体育赛事,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020505/1.m3u8$IPV6『线路1』
CCTV-5+ 体育赛事,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/index.m3u8$IPV6『线路2』
CCTV-5+ 体育赛事,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002139/index.m3u8$FM•IPV6 『线路3』
CCTV-5+ 体育赛事,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/1.m3u8$LR•IPV6『线路4』
CCTV-5+ 体育赛事,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8$IPV6『线路5』
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$IPV4『线路6』

後備線路,#genre#
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
無線新聞台,http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn
大灣區衛視,http://kxrj.site:1333/86/mg.php?id=dwqws
廣東衛視,http://kxrj.site:1333/86/mg.php?id=gdws
鳳凰中文台,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8
中天新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
tvbs-新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
东森新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv152
